Season,DayDate,Date,HomeTeam,Score,HomeGoal,AwayGoal,FTResult,AwayTeam,Over2.5,TotalGoals,BTTS,WinMargin
2021,Su 9 May,9/5/2021,Hougang ,4 - 3,4,3,H, Khalsa,+,7,+,1
2021,Su 9 May,9/5/2021,Lion City ,2 - 1,2,1,H, Geylang,+,3,+,1
2021,Sa 15 May,15/5/2021,A. Niigata (S) ,2 - 1,2,1,H, Young Lions,+,3,+,1
2021,Sa 15 May,15/5/2021,Tampines Rovers ,5 - 1,5,1,H, Khalsa,+,6,+,4
2021,Su 16 May,16/5/2021,Geylang ,2 - 5,2,5,A, Hougang,+,7,+,3
2021,Su 16 May,16/5/2021,Lion City ,3 - 1,3,1,H, Tanjong Pagar,+,4,+,2
2021,Sa 22 May,22/5/2021,Lion City ,1 - 0,1,0,H, Young Lions,-,1,-,1
2021,Sa 22 May,22/5/2021,Tampines Rovers ,2 - 3,2,3,A, Hougang,+,5,+,1
2021,Su 23 May,23/5/2021,Geylang ,1 - 2,1,2,A, A. Niigata (S),+,3,+,1
2021,Su 23 May,23/5/2021,Tanjong Pagar ,2 - 2,2,2,D, Khalsa,+,4,+,0
2021,Sa 17 Jul,17/7/2021,Tanjong Pagar ,1 - 1,1,1,D, Young Lions,-,2,+,0
2021,Fr 23 Jul,23/7/2021,A. Niigata (S) ,1 - 1,1,1,D, Lion City,-,2,+,0
